"Karte";"Martin-Visa 1234 •••• •••• 9876"
""
"Saldo vom 30.10.2023:";"-0 EUR"
""
"Belegdatum";"Wertstellung";"Status";"Beschreibung";"Umsatztyp";"Betrag";"Fremdwährungsbetrag"
"20.10.23";"21.10.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"20.10.23";"20.10.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.09.23";"23.09.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.09.23";"22.09.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.08.23";"23.08.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.08.23";"22.08.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"21.07.23";"22.07.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"21.07.23";"21.07.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.06.23";"23.06.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.06.23";"22.06.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.05.23";"23.05.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.05.23";"22.05.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"21.04.23";"22.04.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"21.04.23";"21.04.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.03.23";"23.03.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.03.23";"22.03.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.02.23";"23.02.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.02.23";"22.02.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"20.01.23";"21.01.23";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"20.01.23";"20.01.23";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.12.22";"23.12.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.12.22";"22.12.22";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"28.11.22";"28.11.22";"Gebucht";"Auszahlung";"Umsatztyp unbekannt";"-17,45 €";""
"22.11.22";"22.11.22";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"21.11.22";"22.10.22";"Gebucht";"GOOGLE *Stadia";"Gutschrift";"10,04 €";""
"21.11.22";"22.10.22";"Gebucht";"Google Payment IE LTD Sta";"Gutschrift";"9,90 €";""
"21.10.22";"22.10.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"21.10.22";"21.10.22";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.09.22";"23.09.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.09.22";"22.09.22";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.08.22";"23.08.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"2,49 €";""
"22.08.22";"22.08.22";"Gebucht";"Kartenpreis";"Entgelt";"-2,49 €";""
"22.06.22";"23.06.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"9,99 €";""
"23.05.22";"23.05.22";"Gebucht";"GOOGLE*STADIA";"Im Geschäft";"-9,99 €";""
"20.05.22";"21.05.22";"Gebucht";"Ausgleich Kreditkarte gem";"Lastschrift";"157,90 €";""
"16.05.22";"16.05.22";"Gebucht";"PAYPAL *BWONLINESHO";"Im Geschäft";"-39,91 €";""
"10.05.22";"10.05.22";"Gebucht";"SPK WERRA-MEISSNER";"Bargeldabhebung";"-100,00 €";""
